Lookups: SUPER::; Text: SUPER::; Tail: ...; Type: null; Icon: /package_gutter_icon.png; Type Icon: null
Lookups: test10; Text: test10; Tail: ([$new_value]); Type: MySomePackage; Icon: /method_gutter_icon.png; Type Icon: null
Lookups: test11; Text: test11; Tail: null; Type: MySomePackage; Icon: /method_gutter_icon.png; Type Icon: null
Lookups: test12; Text: test12; Tail: ([$new_value]); Type: MySomePackage; Icon: /method_gutter_icon.png; Type Icon: null
Lookups: test13; Text: test13; Tail: null; Type: MySomePackage; Icon: /method_gutter_icon.png; Type Icon: null
Lookups: test14; Text: test14; Tail: ([$new_value]); Type: MySomePackage; Icon: /method_gutter_icon.png; Type Icon: null
Lookups: test15; Text: test15; Tail: null; Type: MySomePackage; Icon: /method_gutter_icon.png; Type Icon: null
Lookups: test16; Text: test16; Tail: null; Type: MySomePackage; Icon: /method_gutter_icon.png; Type Icon: null
Lookups: test17; Text: test17; Tail: ([$new_value]); Type: MySomePackage; Icon: /method_gutter_icon.png; Type Icon: null
Lookups: test18; Text: test18; Tail: ([$new_value]); Type: MySomePackage; Icon: /method_gutter_icon.png; Type Icon: null
Lookups: test1; Text: test1; Tail: null; Type: MySomePackage; Icon: /method_gutter_icon.png; Type Icon: null
Lookups: test20; Text: test20; Tail: ([$new_value]); Type: MySomePackage; Icon: /method_gutter_icon.png; Type Icon: null
Lookups: test21; Text: test21; Tail: ([$new_value]); Type: MySomePackage; Icon: /method_gutter_icon.png; Type Icon: null
Lookups: test22; Text: test22; Tail: null; Type: MySomePackage; Icon: /method_gutter_icon.png; Type Icon: null
Lookups: test23; Text: test23; Tail: null; Type: MySomePackage; Icon: /method_gutter_icon.png; Type Icon: null
Lookups: test26; Text: test26; Tail: null; Type: MySomePackage; Icon: /method_gutter_icon.png; Type Icon: null
Lookups: test28; Text: test28; Tail: null; Type: MySomePackage; Icon: /method_gutter_icon.png; Type Icon: null
Lookups: test2; Text: test2; Tail: ([$new_value]); Type: MySomePackage; Icon: /method_gutter_icon.png; Type Icon: null
