Lookups: Any; Text: Any; Tail: null; Type: Types::Standard; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: ArrayRef; Text: ArrayRef; Tail: null; Type: Types::Standard; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: Bool; Text: Bool; Tail: null; Type: Types::Standard; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: ClassName; Text: ClassName; Tail: null; Type: Types::Standard; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: CodeRef; Text: CodeRef; Tail: null; Type: Types::Standard; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: ConsumerOf; Text: ConsumerOf; Tail: null; Type: Types::Standard; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: CycleTuple; Text: CycleTuple; Tail: null; Type: Types::Standard; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: Defined; Text: Defined; Tail: null; Type: Types::Standard; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: Dict; Text: Dict; Tail: null; Type: Types::Standard; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: Enum; Text: Enum; Tail: null; Type: Types::Standard; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: FileHandle; Text: FileHandle; Tail: null; Type: Types::Standard; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: GlobRef; Text: GlobRef; Tail: null; Type: Types::Standard; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: HasMethods; Text: HasMethods; Tail: null; Type: Types::Standard; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: HashRef; Text: HashRef; Tail: null; Type: Types::Standard; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: InstanceOf; Text: InstanceOf; Tail: null; Type: Types::Standard; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: Int; Text: Int; Tail: null; Type: Types::Standard; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: Item; Text: Item; Tail: null; Type: Types::Standard; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: Join; Text: Join; Tail: null; Type: Types::Standard; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: LaxNum; Text: LaxNum; Tail: null; Type: Types::Standard; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: Map; Text: Map; Tail: null; Type: Types::Standard; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: Maybe; Text: Maybe; Tail: null; Type: Types::Standard; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: MkOpt; Text: MkOpt; Tail: null; Type: Types::Standard; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: Num; Text: Num; Tail: null; Type: Types::Standard; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: Object; Text: Object; Tail: null; Type: Types::Standard; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: OptList; Text: OptList; Tail: null; Type: Types::Standard; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: Optional; Text: Optional; Tail: null; Type: Types::Standard; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: Overload; Text: Overload; Tail: null; Type: Types::Standard; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: Ref; Text: Ref; Tail: null; Type: Types::Standard; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: RegexpRef; Text: RegexpRef; Tail: null; Type: Types::Standard; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: RoleName; Text: RoleName; Tail: null; Type: Types::Standard; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: ScalarRef; Text: ScalarRef; Tail: null; Type: Types::Standard; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: Split; Text: Split; Tail: null; Type: Types::Standard; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: Str; Text: Str; Tail: null; Type: Types::Standard; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: StrMatch; Text: StrMatch; Tail: null; Type: Types::Standard; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: StrictNum; Text: StrictNum; Tail: null; Type: Types::Standard; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: Tied; Text: Tied; Tail: null; Type: Types::Standard; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: Tuple; Text: Tuple; Tail: null; Type: Types::Standard; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: Undef; Text: Undef; Tail: null; Type: Types::Standard; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: Value; Text: Value; Tail: null; Type: Types::Standard; Icon: /subroutine_gutter_icon.png; Type Icon: null
