Lookups: !; Text: !; Tail: {}; Type: null; Icon: /hash_gutter_icon.png; Type Icon: null
Lookups: +; Text: +; Tail: []; Type: null; Icon: /array_gutter_icon.png; Type Icon: null
Lookups: +; Text: +; Tail: null; Type: null; Icon: /array_gutter_icon.png; Type Icon: null
Lookups: +; Text: +; Tail: {}; Type: null; Icon: /hash_gutter_icon.png; Type Icon: null
Lookups: -; Text: -; Tail: []; Type: null; Icon: /array_gutter_icon.png; Type Icon: null
Lookups: -; Text: -; Tail: null; Type: null; Icon: /array_gutter_icon.png; Type Icon: null
Lookups: -; Text: -; Tail: {}; Type: null; Icon: /hash_gutter_icon.png; Type Icon: null
Lookups: ARG; Text: ARG; Tail: []; Type: null; Icon: /array_gutter_icon.png; Type Icon: null
Lookups: ARG; Text: ARG; Tail: null; Type: null; Icon: /array_gutter_icon.png; Type Icon: null
Lookups: ARGV; Text: ARGV; Tail: []; Type: null; Icon: /array_gutter_icon.png; Type Icon: null
Lookups: ARGV; Text: ARGV; Tail: null; Type: null; Icon: /array_gutter_icon.png; Type Icon: null
Lookups: ENV; Text: ENV; Tail: {}; Type: null; Icon: /hash_gutter_icon.png; Type Icon: null
Lookups: ERRNO; Text: ERRNO; Tail: {}; Type: null; Icon: /hash_gutter_icon.png; Type Icon: null
Lookups: F; Text: F; Tail: []; Type: null; Icon: /array_gutter_icon.png; Type Icon: null
Lookups: F; Text: F; Tail: null; Type: null; Icon: /array_gutter_icon.png; Type Icon: null
Lookups: INC; Text: INC; Tail: []; Type: null; Icon: /array_gutter_icon.png; Type Icon: null
Lookups: INC; Text: INC; Tail: null; Type: null; Icon: /array_gutter_icon.png; Type Icon: null
Lookups: INC; Text: INC; Tail: {}; Type: null; Icon: /hash_gutter_icon.png; Type Icon: null
Lookups: LAST_MATCH_END; Text: LAST_MATCH_END; Tail: []; Type: null; Icon: /array_gutter_icon.png; Type Icon: null
Lookups: LAST_MATCH_END; Text: LAST_MATCH_END; Tail: null; Type: null; Icon: /array_gutter_icon.png; Type Icon: null
Lookups: LAST_MATCH_START; Text: LAST_MATCH_START; Tail: []; Type: null; Icon: /array_gutter_icon.png; Type Icon: null
Lookups: LAST_MATCH_START; Text: LAST_MATCH_START; Tail: null; Type: null; Icon: /array_gutter_icon.png; Type Icon: null
Lookups: LAST_PAREN_MATCH; Text: LAST_PAREN_MATCH; Tail: {}; Type: null; Icon: /hash_gutter_icon.png; Type Icon: null
Lookups: MyTest::Some::Package::EXPORT; Text: MyTest::Some::Package::EXPORT; Tail: null; Type: null; Icon: /array_gutter_icon.png; Type Icon: null
Lookups: MyTest::Some::Package::EXPORT_OK; Text: MyTest::Some::Package::EXPORT_OK; Tail: null; Type: null; Icon: /array_gutter_icon.png; Type Icon: null
Lookups: OS_ERROR; Text: OS_ERROR; Tail: {}; Type: null; Icon: /hash_gutter_icon.png; Type Icon: null
Lookups: SIG; Text: SIG; Tail: {}; Type: null; Icon: /hash_gutter_icon.png; Type Icon: null
Lookups: ^CAPTURE; Text: ^CAPTURE; Tail: []; Type: null; Icon: /array_gutter_icon.png; Type Icon: null
Lookups: ^CAPTURE; Text: ^CAPTURE; Tail: null; Type: null; Icon: /array_gutter_icon.png; Type Icon: null
Lookups: ^CAPTURE; Text: ^CAPTURE; Tail: {}; Type: null; Icon: /hash_gutter_icon.png; Type Icon: null
Lookups: ^CAPTURE_ALL; Text: ^CAPTURE_ALL; Tail: {}; Type: null; Icon: /hash_gutter_icon.png; Type Icon: null
Lookups: ^H; Text: ^H; Tail: {}; Type: null; Icon: /hash_gutter_icon.png; Type Icon: null
Lookups: _; Text: _; Tail: []; Type: null; Icon: /array_gutter_icon.png; Type Icon: null
Lookups: _; Text: _; Tail: null; Type: null; Icon: /array_gutter_icon.png; Type Icon: null
Lookups: somevar; Text: somevar; Tail: {}; Type: null; Icon: /hash_gutter_icon.png; Type Icon: null
