0(1) element: null (InstructionImpl)
1(2) element: PsiPerlNumberConstantImpl(Perl5: NUMBER_CONSTANT) (InstructionImpl)
2(3) element: PsiPerlNumberConstantImpl(Perl5: NUMBER_CONSTANT) (InstructionImpl)
3(4) element: PsiPerlNumberConstantImpl(Perl5: NUMBER_CONSTANT) (InstructionImpl)
4(5) element: PsiPerlCommaSequenceExprImpl(Perl5: COMMA_SEQUENCE_EXPR) (InstructionImpl)
5(6) element: PsiPerlMethodImpl(Perl5: METHOD) (InstructionImpl)
6(7) element: PsiPerlSubCallExprImpl(Perl5: SUB_CALL_EXPR) (InstructionImpl)
7(8) element: PsiPerlNumberConstantImpl(Perl5: NUMBER_CONSTANT) (InstructionImpl)
8(9) element: PsiPerlNumberConstantImpl(Perl5: NUMBER_CONSTANT) (InstructionImpl)
9(10) element: PsiPerlNumberConstantImpl(Perl5: NUMBER_CONSTANT) (InstructionImpl)
10(11) element: PsiPerlCommaSequenceExprImpl(Perl5: COMMA_SEQUENCE_EXPR) (InstructionImpl)
11(12) element: PsiPerlMethodImpl(Perl5: METHOD) (InstructionImpl)
12(13) element: PsiPerlSubCallExprImpl(Perl5: SUB_CALL_EXPR) (InstructionImpl)
13(14) element: PsiPerlNumberConstantImpl(Perl5: NUMBER_CONSTANT) (InstructionImpl)
14(15) element: PsiPerlNumberConstantImpl(Perl5: NUMBER_CONSTANT) (InstructionImpl)
15(16) element: PsiPerlNumberConstantImpl(Perl5: NUMBER_CONSTANT) (InstructionImpl)
16(17) element: PsiPerlMethodImpl(Perl5: METHOD) (InstructionImpl)
17(18) element: PsiPerlSubCallExprImpl(Perl5: SUB_CALL_EXPR) (InstructionImpl)
18(19) element: PsiPerlCommaSequenceExprImpl(Perl5: COMMA_SEQUENCE_EXPR) (InstructionImpl)
19(20) element: PsiPerlMethodImpl(Perl5: METHOD) (InstructionImpl)
20(21) element: PsiPerlSubCallExprImpl(Perl5: SUB_CALL_EXPR) (InstructionImpl)
21(22) element: PsiPerlCommaSequenceExprImpl(Perl5: COMMA_SEQUENCE_EXPR) (InstructionImpl)
22(23) element: PsiPerlMethodImpl(Perl5: METHOD) (InstructionImpl)
23(24) element: PsiPerlSubCallExprImpl(Perl5: SUB_CALL_EXPR) (InstructionImpl)
24() element: null (InstructionImpl)
