Lookups: BEGIN; Text: BEGIN; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: CHECK; Text: CHECK; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: ClassAccessor->; Text: ClassAccessor->; Tail: ...; Type: null; Icon: /package_gutter_icon.png; Type Icon: null
Lookups: ClassAccessor::; Text: ClassAccessor::; Tail: ...; Type: null; Icon: /package_gutter_icon.png; Type Icon: null
Lookups: DESTROY; Text: DESTROY; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: END; Text: END; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: Exception1->; Text: Exception1->; Tail: ...; Type: null; Icon: /exceptionClass.png; Type Icon: null
Lookups: Exception1::; Text: Exception1::; Tail: ...; Type: null; Icon: /exceptionClass.png; Type Icon: null
Lookups: Exception2->; Text: Exception2->; Tail: ...; Type: null; Icon: /exceptionClass.png; Type Icon: null
Lookups: Exception2::; Text: Exception2::; Tail: ...; Type: null; Icon: /exceptionClass.png; Type Icon: null
Lookups: Exception3->; Text: Exception3->; Tail: ...; Type: null; Icon: /exceptionClass.png; Type Icon: null
Lookups: Exception3::; Text: Exception3::; Tail: ...; Type: null; Icon: /exceptionClass.png; Type Icon: null
Lookups: Exception4->; Text: Exception4->; Tail: ...; Type: null; Icon: /exceptionClass.png; Type Icon: null
Lookups: Exception4::; Text: Exception4::; Tail: ...; Type: null; Icon: /exceptionClass.png; Type Icon: null
Lookups: Exception5->; Text: Exception5->; Tail: ...; Type: null; Icon: /exceptionClass.png; Type Icon: null
Lookups: Exception5::; Text: Exception5::; Tail: ...; Type: null; Icon: /exceptionClass.png; Type Icon: null
Lookups: Library::Exception->; Text: Library::Exception->; Tail: ...; Type: null; Icon: /exceptionClass.png; Type Icon: null
Lookups: Library::Exception2->; Text: Library::Exception2->; Tail: ...; Type: null; Icon: /exceptionClass.png; Type Icon: null
Lookups: Library::Exception2::; Text: Library::Exception2::; Tail: ...; Type: null; Icon: /exceptionClass.png; Type Icon: null
Lookups: Library::Exception::; Text: Library::Exception::; Tail: ...; Type: null; Icon: /exceptionClass.png; Type Icon: null
Lookups: LibraryException->; Text: LibraryException->; Tail: ...; Type: null; Icon: /exceptionClass.png; Type Icon: null
Lookups: LibraryException3->; Text: LibraryException3->; Tail: ...; Type: null; Icon: /exceptionClass.png; Type Icon: null
Lookups: LibraryException3::; Text: LibraryException3::; Tail: ...; Type: null; Icon: /exceptionClass.png; Type Icon: null
Lookups: LibraryException::; Text: LibraryException::; Tail: ...; Type: null; Icon: /exceptionClass.png; Type Icon: null
Lookups: MyTest::Constants->; Text: MyTest::Constants->; Tail: ...; Type: null; Icon: /package_gutter_icon.png; Type Icon: null
Lookups: MyTest::Constants::; Text: MyTest::Constants::; Tail: ...; Type: null; Icon: /package_gutter_icon.png; Type Icon: null
Lookups: MyTest::Exceptions->; Text: MyTest::Exceptions->; Tail: ...; Type: null; Icon: /package_gutter_icon.png; Type Icon: null
Lookups: MyTest::Exceptions::; Text: MyTest::Exceptions::; Tail: ...; Type: null; Icon: /package_gutter_icon.png; Type Icon: null
Lookups: MyTest::Some::Package->; Text: MyTest::Some::Package->; Tail: ...; Type: null; Icon: /package_gutter_icon.png; Type Icon: null
Lookups: MyTest::Some::Package::; Text: MyTest::Some::Package::; Tail: ...; Type: null; Icon: /package_gutter_icon.png; Type Icon: null
Lookups: MyTest::Something->; Text: MyTest::Something->; Tail: ...; Type: null; Icon: /package_gutter_icon.png; Type Icon: null
Lookups: MyTest::Something::; Text: MyTest::Something::; Tail: ...; Type: null; Icon: /package_gutter_icon.png; Type Icon: null
Lookups: UNITCHECK; Text: UNITCHECK; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
