Lookups: DTD; Text: DTD; Tail: null; Type: inject with DTD; Icon: /dtd.png; Type Icon: null
Lookups: EPERL5; Text: EPERL5; Tail: null; Type: inject with Embedded Perl; Icon: /embeddedperl.png; Type Icon: null
Lookups: HTML; Text: HTML; Tail: null; Type: inject with HTML; Icon: /html.png; Type Icon: null
Lookups: JAVA; Text: JAVA; Tail: null; Type: inject with Java; Icon: /java.png; Type Icon: null
Lookups: JSON; Text: JSON; Tail: null; Type: inject with JSON; Icon: /json.png; Type Icon: null
Lookups: MANIFEST; Text: MANIFEST; Tail: null; Type: inject with Manifest; Icon: /manifest.png; Type Icon: null
Lookups: MOJO; Text: MOJO; Tail: null; Type: inject with Mojolicious Perl; Icon: /mojolicious.png; Type Icon: null
Lookups: MYSUPERMARKER; Text: MYSUPERMARKER; Tail: null; Type: null; Icon: null; Type Icon: null
Lookups: PERL5; Text: PERL5; Tail: null; Type: inject with Perl5; Icon: /perl5.png; Type Icon: null
Lookups: XHTML; Text: XHTML; Tail: null; Type: inject with XHTML; Icon: /xhtml.png; Type Icon: null
Lookups: XML; Text: XML; Tail: null; Type: inject with XML; Icon: /xml.png; Type Icon: null
