Lookups: FATAL; Text: FATAL; Tail: null; Type: FATALITY!; Icon: /option.png; Type Icon: null
Lookups: all; Text: all; Tail: null; Type: v5.8, pipe(v5.8) unopened(v5.8) closed(v5.8) newline(v5.8) exec(v5.8) layer(v5.8) syscalls(v5.19) ambiguous(v5.8) semicolon(v5.8) precedence(v5.8) bareword(v5.8) reserved(v5.8) digit(v5.8) parenthesis(v5.8) printf(v5.8) prototype(v5.8) qw(v5.8) illegalproto(v5.11) inplace(v5.8) internal(v5.8) debugging(v5.8) malloc(v5.8) deprecated(v5.8) void(v5.8) recursion(v5.8) redefine(v5.8) numeric(v5.8) uninitialized(v5.8) once(v5.8) misc(v5.8) regexp(v5.8) glob(v5.8) untie(v5.8) substr(v5.8) taint(v5.8) signal(v5.8) closure(v5.8) overflow(v5.8) portable(v5.8) surrogate(v5.13) nonchar(v5.13) non_unicode(v5.13) exiting(v5.8) pack(v5.8) unpack(v5.8) threads(v5.8) imprecision(v5.11) experimental::lexical_subs(v5.17) experimental::regex_sets(v5.17) experimental::lexical_topic(v5.17) experimental::smartmatch(v5.17) experimental::postderef(v5.19) experimental::autoderef(v5.19) experimental::signatures(v5.19) experimental::win32_perlio(v5.21) experimental::refaliasing(v5.21) experimental::re_strict(v5.21) experimental::const_attr(v5.21) experimental::bitwise(v5.21) missing(v5.21) redundant(v5.21) locale(v5.21); Icon: /options.png; Type Icon: null
Lookups: ambiguous; Text: ambiguous; Tail: null; Type: v5.8; Icon: /option.png; Type Icon: null
Lookups: bareword; Text: bareword; Tail: null; Type: v5.8; Icon: /option.png; Type Icon: null
Lookups: closed; Text: closed; Tail: null; Type: v5.8; Icon: /option.png; Type Icon: null
Lookups: closure; Text: closure; Tail: null; Type: v5.8; Icon: /option.png; Type Icon: null
Lookups: debugging; Text: debugging; Tail: null; Type: v5.8; Icon: /option.png; Type Icon: null
Lookups: deprecated; Text: deprecated; Tail: null; Type: v5.8; Icon: /option.png; Type Icon: null
Lookups: digit; Text: digit; Tail: null; Type: v5.8; Icon: /option.png; Type Icon: null
Lookups: exec; Text: exec; Tail: null; Type: v5.8; Icon: /option.png; Type Icon: null
Lookups: exiting; Text: exiting; Tail: null; Type: v5.8; Icon: /option.png; Type Icon: null
Lookups: experimental::autoderef; Text: experimental::autoderef; Tail: null; Type: v5.19; Icon: /option.png; Type Icon: null
Lookups: experimental::bitwise; Text: experimental::bitwise; Tail: null; Type: v5.21; Icon: /option.png; Type Icon: null
Lookups: experimental::const_attr; Text: experimental::const_attr; Tail: null; Type: v5.21; Icon: /option.png; Type Icon: null
Lookups: experimental::lexical_subs; Text: experimental::lexical_subs; Tail: null; Type: v5.17; Icon: /option.png; Type Icon: null
Lookups: experimental::lexical_topic; Text: experimental::lexical_topic; Tail: null; Type: v5.17; Icon: /option.png; Type Icon: null
Lookups: experimental::postderef; Text: experimental::postderef; Tail: null; Type: v5.19; Icon: /option.png; Type Icon: null
Lookups: experimental::re_strict; Text: experimental::re_strict; Tail: null; Type: v5.21; Icon: /option.png; Type Icon: null
Lookups: experimental::refaliasing; Text: experimental::refaliasing; Tail: null; Type: v5.21; Icon: /option.png; Type Icon: null
Lookups: experimental::regex_sets; Text: experimental::regex_sets; Tail: null; Type: v5.17; Icon: /option.png; Type Icon: null
