Lookups: SUPER::; Text: SUPER::; Tail: ...; Type: null; Icon: /package_gutter_icon.png; Type Icon: null
Lookups: name11; Text: name11; Tail: ([$new_value]); Type: Foo::Bar; Icon: /method_gutter_icon.png; Type Icon: null
Lookups: name12; Text: name12; Tail: ([$new_value]); Type: Foo::Bar; Icon: /method_gutter_icon.png; Type Icon: null
Lookups: name13; Text: name13; Tail: ([$new_value]); Type: Foo::Bar; Icon: /method_gutter_icon.png; Type Icon: null
Lookups: name14; Text: name14; Tail: ([$new_value]); Type: Foo::Bar; Icon: /method_gutter_icon.png; Type Icon: null
Lookups: name17; Text: name17; Tail: ([$new_value]); Type: Foo::Bar; Icon: /method_gutter_icon.png; Type Icon: null
Lookups: name18; Text: name18; Tail: ([$new_value]); Type: Foo::Bar; Icon: /method_gutter_icon.png; Type Icon: null
Lookups: name1; Text: name1; Tail: ([$new_value]); Type: Foo::Bar; Icon: /method_gutter_icon.png; Type Icon: null
Lookups: name21; Text: name21; Tail: ([$new_value]); Type: Foo::Bar; Icon: /method_gutter_icon.png; Type Icon: null
Lookups: name22; Text: name22; Tail: ([$new_value]); Type: Foo::Bar; Icon: /method_gutter_icon.png; Type Icon: null
Lookups: name27; Text: name27; Tail: ([$new_value]); Type: Foo::Bar; Icon: /method_gutter_icon.png; Type Icon: null
Lookups: name28; Text: name28; Tail: ([$new_value]); Type: Foo::Bar; Icon: /method_gutter_icon.png; Type Icon: null
Lookups: name2; Text: name2; Tail: ([$new_value]); Type: Foo::Bar; Icon: /method_gutter_icon.png; Type Icon: null
Lookups: name37; Text: name37; Tail: ([$new_value]); Type: Foo::Bar; Icon: /method_gutter_icon.png; Type Icon: null
Lookups: name38; Text: name38; Tail: ([$new_value]); Type: Foo::Bar; Icon: /method_gutter_icon.png; Type Icon: null
Lookups: name3; Text: name3; Tail: ([$new_value]); Type: Foo::Bar; Icon: /method_gutter_icon.png; Type Icon: null
Lookups: name4; Text: name4; Tail: ([$new_value]); Type: Foo::Bar; Icon: /method_gutter_icon.png; Type Icon: null
Lookups: name51; Text: name51; Tail: ([$new_value]); Type: Foo::Bar; Icon: /method_gutter_icon.png; Type Icon: null
Lookups: name5; Text: name5; Tail: ([$new_value]); Type: Foo::Bar; Icon: /method_gutter_icon.png; Type Icon: null
Lookups: name6; Text: name6; Tail: ([$new_value]); Type: Foo::Bar; Icon: /method_gutter_icon.png; Type Icon: null
Lookups: name; Text: name; Tail: ([$new_value]); Type: Foo::Bar; Icon: /method_gutter_icon.png; Type Icon: null
