0(1) element: null
1(2) element: PsiPerlMethodImpl(Perl5: METHOD)
2(3) element: PsiPerlNumberConstantImpl(Perl5: NUMBER_CONSTANT)
3(4) element: PsiPerlNumberConstantImpl(Perl5: NUMBER_CONSTANT)
4(5) element: PsiPerlNumberConstantImpl(Perl5: NUMBER_CONSTANT)
5(6) element: PsiPerlCommaSequenceExprImpl(Perl5: COMMA_SEQUENCE_EXPR)
6(7) element: PsiPerlSubCallExprImpl(Perl5: SUB_CALL_EXPR)
7(8) element: PsiPerlMethodImpl(Perl5: METHOD)
8(9) element: PsiPerlNumberConstantImpl(Perl5: NUMBER_CONSTANT)
9(10) element: PsiPerlNumberConstantImpl(Perl5: NUMBER_CONSTANT)
10(11) element: PsiPerlNumberConstantImpl(Perl5: NUMBER_CONSTANT)
11(12) element: PsiPerlCommaSequenceExprImpl(Perl5: COMMA_SEQUENCE_EXPR)
12(13) element: PsiPerlSubCallExprImpl(Perl5: SUB_CALL_EXPR)
13(14) element: PsiPerlMethodImpl(Perl5: METHOD)
14(15) element: PsiPerlNumberConstantImpl(Perl5: NUMBER_CONSTANT)
15(16) element: PsiPerlMethodImpl(Perl5: METHOD)
16(17) element: PsiPerlNumberConstantImpl(Perl5: NUMBER_CONSTANT)
17(18) element: PsiPerlMethodImpl(Perl5: METHOD)
18(19) element: PsiPerlNumberConstantImpl(Perl5: NUMBER_CONSTANT)
19(20) element: PsiPerlSubCallExprImpl(Perl5: SUB_CALL_EXPR)
20(21) element: PsiPerlCommaSequenceExprImpl(Perl5: COMMA_SEQUENCE_EXPR)
21(22) element: PsiPerlSubCallExprImpl(Perl5: SUB_CALL_EXPR)
22(23) element: PsiPerlCommaSequenceExprImpl(Perl5: COMMA_SEQUENCE_EXPR)
23(24) element: PsiPerlSubCallExprImpl(Perl5: SUB_CALL_EXPR)
24() element: null
