0(1) element: null
1(2) element: PsiPerlScalarVariableImpl(Perl5: SCALAR_VARIABLE)
2(3) element: PsiPerlArrayIndexImpl(Perl5: ARRAY_INDEX)
3(4) element: PsiPerlScalarVariableImpl(Perl5: SCALAR_VARIABLE)
4(5) element: PsiPerlArrayElementImpl(Perl5: ARRAY_ELEMENT)
5(6) element: PsiPerlPrintExprImpl(Perl5: PRINT_EXPR)
6(7) element: PsiPerlStatementImpl(Perl5: STATEMENT)
7(8) element: PsiPerlScalarVariableImpl(Perl5: SCALAR_VARIABLE)
8(9) element: PsiPerlScalarVariableImpl(Perl5: SCALAR_VARIABLE)
9(10) element: PsiPerlCommaSequenceExprImpl(Perl5: COMMA_SEQUENCE_EXPR)
10(11) element: PsiPerlArrayIndexImpl(Perl5: ARRAY_INDEX)
11(12) element: PsiPerlArrayVariableImpl(Perl5: ARRAY_VARIABLE)
12(13) element: PsiPerlArraySliceImpl(Perl5: ARRAY_SLICE)
13(14) element: PsiPerlPrintExprImpl(Perl5: PRINT_EXPR)
14(15) element: PsiPerlStatementImpl(Perl5: STATEMENT)
15(16) element: PsiPerlScalarVariableImpl(Perl5: SCALAR_VARIABLE)
16(17) element: PsiPerlHashIndexImpl(Perl5: HASH_INDEX)
17(18) element: PsiPerlScalarVariableImpl(Perl5: SCALAR_VARIABLE)
18(19) element: PsiPerlHashElementImpl(Perl5: HASH_ELEMENT)
19(20) element: PsiPerlPrintExprImpl(Perl5: PRINT_EXPR)
20(21) element: PsiPerlStatementImpl(Perl5: STATEMENT)
21(22) element: PsiPerlScalarVariableImpl(Perl5: SCALAR_VARIABLE)
22(23) element: PsiPerlScalarVariableImpl(Perl5: SCALAR_VARIABLE)
23(24) element: PsiPerlCommaSequenceExprImpl(Perl5: COMMA_SEQUENCE_EXPR)
24(25) element: PsiPerlHashIndexImpl(Perl5: HASH_INDEX)
25(26) element: PsiPerlArrayVariableImpl(Perl5: ARRAY_VARIABLE)
26(27) element: PsiPerlHashSliceImpl(Perl5: HASH_SLICE)
27(28) element: PsiPerlPrintExprImpl(Perl5: PRINT_EXPR)
28(29) element: PsiPerlStatementImpl(Perl5: STATEMENT)
29(30) element: PsiPerlStringBareImpl(Perl5: STRING_BARE)
30(31) element: PsiPerlHashIndexImpl(Perl5: HASH_INDEX)
31(32) element: PsiPerlGlobVariableImpl(*)
32(33) element: PsiPerlGlobSlotImpl(Perl5: GLOB_SLOT)
33(34) element: PsiPerlPrintExprImpl(Perl5: PRINT_EXPR)
34(35) element: PsiPerlStatementImpl(Perl5: STATEMENT)
35() element: null
