0(1) element: null
1(2) element: PsiPerlScalarVariableImpl(Perl5: SCALAR_VARIABLE)
2(3) element: PsiPerlScalarVariableImpl(Perl5: SCALAR_VARIABLE)
3(4) element: PsiPerlCommaSequenceExprImpl(Perl5: COMMA_SEQUENCE_EXPR)
4(5) element: PsiPerlPrintExprImpl(Perl5: PRINT_EXPR)
5(6) element: PsiPerlStatementImpl(Perl5: STATEMENT)
6(7) element: PsiPerlScalarVariableImpl(Perl5: SCALAR_VARIABLE)
7(8) element: PsiPerlScalarVariableImpl(Perl5: SCALAR_VARIABLE)
8(9) element: PsiPerlCommaSequenceExprImpl(Perl5: COMMA_SEQUENCE_EXPR)
9(10) element: PsiPerlPrintExprImpl(Perl5: PRINT_EXPR)
10(11) element: PsiPerlStatementImpl(Perl5: STATEMENT)
11(12) element: PsiPerlScalarVariableImpl(Perl5: SCALAR_VARIABLE)
12(13) element: PsiPerlScalarVariableImpl(Perl5: SCALAR_VARIABLE)
13(14) element: PsiPerlCommaSequenceExprImpl(Perl5: COMMA_SEQUENCE_EXPR)
14(15) element: PsiPerlPerlHandleExprImpl(Perl5: PERL_HANDLE_EXPR)
15(16) element: PsiPerlPrintExprImpl(Perl5: PRINT_EXPR)
16(17) element: PsiPerlStatementImpl(Perl5: STATEMENT)
17(18) element: PsiPerlScalarVariableImpl(Perl5: SCALAR_VARIABLE)
18(19) element: PsiPerlScalarVariableImpl(Perl5: SCALAR_VARIABLE)
19(20) element: PsiPerlCommaSequenceExprImpl(Perl5: COMMA_SEQUENCE_EXPR)
20(21) element: PsiPerlPerlHandleExprImpl(Perl5: PERL_HANDLE_EXPR)
21(22) element: PsiPerlPrintExprImpl(Perl5: PRINT_EXPR)
22(23) element: PsiPerlStatementImpl(Perl5: STATEMENT)
23(24) element: PsiPerlScalarVariableImpl(Perl5: SCALAR_VARIABLE)
24(25) element: PsiPerlScalarVariableImpl(Perl5: SCALAR_VARIABLE)
25(26) element: PsiPerlCommaSequenceExprImpl(Perl5: COMMA_SEQUENCE_EXPR)
26(27) element: PsiPerlPrintExprImpl(Perl5: PRINT_EXPR)
27(28) element: PsiPerlStatementImpl(Perl5: STATEMENT)
28(29) element: PsiPerlScalarVariableImpl(Perl5: SCALAR_VARIABLE)
29(30) element: PsiPerlScalarVariableImpl(Perl5: SCALAR_VARIABLE)
30(31) element: PsiPerlCommaSequenceExprImpl(Perl5: COMMA_SEQUENCE_EXPR)
31(32) element: PsiPerlPrintExprImpl(Perl5: PRINT_EXPR)
32(33) element: PsiPerlStatementImpl(Perl5: STATEMENT)
33(34) element: PsiPerlScalarVariableImpl(Perl5: SCALAR_VARIABLE)
34(35) element: PsiPerlScalarVariableImpl(Perl5: SCALAR_VARIABLE)
35(36) element: PsiPerlCommaSequenceExprImpl(Perl5: COMMA_SEQUENCE_EXPR)
36(37) element: PsiPerlPerlHandleExprImpl(Perl5: PERL_HANDLE_EXPR)
37(38) element: PsiPerlPrintExprImpl(Perl5: PRINT_EXPR)
38(39) element: PsiPerlStatementImpl(Perl5: STATEMENT)
39(40) element: PsiPerlScalarVariableImpl(Perl5: SCALAR_VARIABLE)
40(41) element: PsiPerlScalarVariableImpl(Perl5: SCALAR_VARIABLE)
41(42) element: PsiPerlCommaSequenceExprImpl(Perl5: COMMA_SEQUENCE_EXPR)
42(43) element: PsiPerlPerlHandleExprImpl(Perl5: PERL_HANDLE_EXPR)
43(44) element: PsiPerlPrintExprImpl(Perl5: PRINT_EXPR)
44(45) element: PsiPerlStatementImpl(Perl5: STATEMENT)
45(46) element: PsiPerlScalarVariableImpl(Perl5: SCALAR_VARIABLE)
46(47) element: PsiPerlScalarVariableImpl(Perl5: SCALAR_VARIABLE)
47(48) element: PsiPerlCommaSequenceExprImpl(Perl5: COMMA_SEQUENCE_EXPR)
48(49) element: PsiPerlPrintExprImpl(Perl5: PRINT_EXPR)
49(50) element: PsiPerlStatementImpl(Perl5: STATEMENT)
50(51) element: PsiPerlScalarVariableImpl(Perl5: SCALAR_VARIABLE)
51(52) element: PsiPerlScalarVariableImpl(Perl5: SCALAR_VARIABLE)
52(53) element: PsiPerlCommaSequenceExprImpl(Perl5: COMMA_SEQUENCE_EXPR)
53(54) element: PsiPerlPrintExprImpl(Perl5: PRINT_EXPR)
54(55) element: PsiPerlStatementImpl(Perl5: STATEMENT)
55(56) element: PsiPerlScalarVariableImpl(Perl5: SCALAR_VARIABLE)
56(57) element: PsiPerlScalarVariableImpl(Perl5: SCALAR_VARIABLE)
57(58) element: PsiPerlCommaSequenceExprImpl(Perl5: COMMA_SEQUENCE_EXPR)
58(59) element: PsiPerlPerlHandleExprImpl(Perl5: PERL_HANDLE_EXPR)
59(60) element: PsiPerlPrintExprImpl(Perl5: PRINT_EXPR)
60(61) element: PsiPerlStatementImpl(Perl5: STATEMENT)
61(62) element: PsiPerlScalarVariableImpl(Perl5: SCALAR_VARIABLE)
62(63) element: PsiPerlScalarVariableImpl(Perl5: SCALAR_VARIABLE)
63(64) element: PsiPerlCommaSequenceExprImpl(Perl5: COMMA_SEQUENCE_EXPR)
64(65) element: PsiPerlPerlHandleExprImpl(Perl5: PERL_HANDLE_EXPR)
65(66) element: PsiPerlPrintExprImpl(Perl5: PRINT_EXPR)
66(67) element: PsiPerlStatementImpl(Perl5: STATEMENT)
67() element: null
